Действие	Сочетание клавиш
Открыть новое окно	Ctrl + N
Открыть новое окно в режиме инкогнито	Ctrl + Shift + N
Открыть новую вкладку и перейти на нее	Ctrl + T
Открыть закрытые вкладки в порядке закрытия	Ctrl + Shift + T
Перейти на следующую открытую вкладку	Ctrl + Tab / Ctrl + PgDn
Перейти на предыдущую открытую вкладку	Ctrl + Shift + Tab / Ctrl + PgUp
Перейти на определенную вкладку	От Ctrl + 1 до Ctrl + 8
Перейти на крайнюю правую вкладку	Ctrl + 9
Открыть домашнюю страницу в текущей вкладке	Alt + Home
Открыть предыдущую страницу из истории просмотров в текущей вкладке	Alt + Стрелка влево
Открыть следующую страницу из истории просмотров в текущей вкладке	Alt + Стрелка вправо
Закрыть активную вкладку	Ctrl + W / Ctrl + F4
Закрыть текущее окно	Ctrl + Shift + W или Alt + F4
Уменьшить размер текущего окна	Alt + Пробел, затем N
Увеличить размер текущего окна	Alt + Пробел, затем Х
Выход Alt + F, затем X
